"term","OddsRatio","std.error","statistic","p.value","CI_low","CI_high","Significance"
"(Intercept)",0.319531022596878,0.0549979105479932,-20.7444410374968,1.37614588276661e-95,0.286862641743311,0.355880728357769,"Significant"
"CustomerCareCalls",1.00548175978318,0.00580209950030848,0.942208871351528,0.346085712865188,0.993856639788156,1.01665139459248,"Not Sig."
"CreditRating_num",0.955365260373095,0.00731186964411887,-6.24485148841321,4.24202975294321e-10,0.941752029576961,0.969135440562666,"Significant"
"PercChangeMinutes",0.999544666696957,0.000101043251285033,-4.50734703146941,6.56432230599124e-06,0.99934629716648,0.999742252447311,"Significant"
"OverageRatio",35.1063167900994,0.342153501683019,10.3999551730628,2.48049859358597e-25,18.0079135830469,68.8810526802142,"Significant"
"sqrt_Tenure",1.06717411894218,0.0106426649050718,6.10882190682815,1.00369250071673e-09,1.04514097600736,1.08966608884215,"Significant"
"UsageDeclineFlag",1.10445520544626,0.0246723987164579,4.026855588238,5.65277262840744e-05,1.0522917703714,1.15914939569322,"Significant"
"DroppedBlockedCalls",0.999301396258179,0.000708932137673187,-0.985775424737573,0.324243327775081,0.997902042044392,1.00067995170372,"Not Sig."
"CustomerCareCalls:CreditRating_num",0.994441292149597,0.0014735305755406,-3.78289738430936,0.00015501333268086,0.991575901261747,0.997315967264688,"Significant"
"CreditRating_num:PercChangeMinutes",1.00006513299973,2.39186470844215e-05,2.7230168346588,0.00646887614222807,1.00001833432701,1.00011211265892,"Significant"
"OverageRatio:sqrt_Tenure",0.569908342121954,0.0720717946303191,-7.80166134703209,6.10974249529498e-15,0.494228381987371,0.655646874954367,"Significant"
